,filename,x,y,w,h,images
10,5.jpg,298,690,479,171,"[[[175 183 185]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 52  56  57]
  [ 53  57  58]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 ...

 [[ 97  99  85]
  [100 102  88]
  [102 104  90]
  ...
  [ 34  39  33]
  [ 35  40  34]
  [ 36  41  35]]

 [[ 93  95  81]
  [ 96  98  84]
  [ 99 101  87]
  ...
  [ 31  36  30]
  [ 32  37  31]
  [ 33  38  32]]

 [[ 92  94  80]
  [ 95  97  83]
  [ 98 100  86]
  ...
  [ 30  35  29]
  [ 30  35  29]
  [ 31  36  30]]]"
11,5.jpg,690,272,243,192,"[[[175 183 185]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 52  56  57]
  [ 53  57  58]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 ...

 [[ 97  99  85]
  [100 102  88]
  [102 104  90]
  ...
  [ 34  39  33]
  [ 35  40  34]
  [ 36  41  35]]

 [[ 93  95  81]
  [ 96  98  84]
  [ 99 101  87]
  ...
  [ 31  36  30]
  [ 32  37  31]
  [ 33  38  32]]

 [[ 92  94  80]
  [ 95  97  83]
  [ 98 100  86]
  ...
  [ 30  35  29]
  [ 30  35  29]
  [ 31  36  30]]]"
12,5.jpg,342,276,142,84,"[[[175 183 185]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 52  56  57]
  [ 53  57  58]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 ...

 [[ 97  99  85]
  [100 102  88]
  [102 104  90]
  ...
  [ 34  39  33]
  [ 35  40  34]
  [ 36  41  35]]

 [[ 93  95  81]
  [ 96  98  84]
  [ 99 101  87]
  ...
  [ 31  36  30]
  [ 32  37  31]
  [ 33  38  32]]

 [[ 92  94  80]
  [ 95  97  83]
  [ 98 100  86]
  ...
  [ 30  35  29]
  [ 30  35  29]
  [ 31  36  30]]]"
13,5.jpg,423,699,116,84,"[[[175 183 185]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 52  56  57]
  [ 53  57  58]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 ...

 [[ 97  99  85]
  [100 102  88]
  [102 104  90]
  ...
  [ 34  39  33]
  [ 35  40  34]
  [ 36  41  35]]

 [[ 93  95  81]
  [ 96  98  84]
  [ 99 101  87]
  ...
  [ 31  36  30]
  [ 32  37  31]
  [ 33  38  32]]

 [[ 92  94  80]
  [ 95  97  83]
  [ 98 100  86]
  ...
  [ 30  35  29]
  [ 30  35  29]
  [ 31  36  30]]]"
14,5.jpg,161,277,158,139,"[[[175 183 185]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 52  56  57]
  [ 53  57  58]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 ...

 [[ 97  99  85]
  [100 102  88]
  [102 104  90]
  ...
  [ 34  39  33]
  [ 35  40  34]
  [ 36  41  35]]

 [[ 93  95  81]
  [ 96  98  84]
  [ 99 101  87]
  ...
  [ 31  36  30]
  [ 32  37  31]
  [ 33  38  32]]

 [[ 92  94  80]
  [ 95  97  83]
  [ 98 100  86]
  ...
  [ 30  35  29]
  [ 30  35  29]
  [ 31  36  30]]]"
15,5.jpg,538,264,185,84,"[[[175 183 185]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 52  56  57]
  [ 53  57  58]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 [[176 184 186]
  [176 184 186]
  [177 185 187]
  ...
  [ 50  54  55]
  [ 51  55  56]
  [ 52  56  57]]

 ...

 [[ 97  99  85]
  [100 102  88]
  [102 104  90]
  ...
  [ 34  39  33]
  [ 35  40  34]
  [ 36  41  35]]

 [[ 93  95  81]
  [ 96  98  84]
  [ 99 101  87]
  ...
  [ 31  36  30]
  [ 32  37  31]
  [ 33  38  32]]

 [[ 92  94  80]
  [ 95  97  83]
  [ 98 100  86]
  ...
  [ 30  35  29]
  [ 30  35  29]
  [ 31  36  30]]]"
16,6.jpg,192,166,575,747,"[[[236 225 233]
  [235 224 232]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 [[236 225 233]
  [235 224 232]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 [[236 225 233]
  [236 225 233]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 ...

 [[ 16  16  16]
  [ 17  17  17]
  [ 17  17  17]
  ...
  [ 17  17  17]
  [ 17  17  17]
  [ 17  17  17]]

 [[ 19  19  19]
  [ 19  19  19]
  [ 19  19  19]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]

 [[ 20  20  20]
  [ 20  20  20]
  [ 21  21  21]
  ...
  [ 15  15  15]
  [ 15  15  15]
  [ 15  15  15]]]"
17,6.jpg,743,51,228,245,"[[[236 225 233]
  [235 224 232]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 [[236 225 233]
  [235 224 232]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 [[236 225 233]
  [236 225 233]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 ...

 [[ 16  16  16]
  [ 17  17  17]
  [ 17  17  17]
  ...
  [ 17  17  17]
  [ 17  17  17]
  [ 17  17  17]]

 [[ 19  19  19]
  [ 19  19  19]
  [ 19  19  19]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]

 [[ 20  20  20]
  [ 20  20  20]
  [ 21  21  21]
  ...
  [ 15  15  15]
  [ 15  15  15]
  [ 15  15  15]]]"
18,6.jpg,635,187,87,67,"[[[236 225 233]
  [235 224 232]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 [[236 225 233]
  [235 224 232]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 [[236 225 233]
  [236 225 233]
  [235 224 232]
  ...
  [202 190 200]
  [202 190 200]
  [202 190 200]]

 ...

 [[ 16  16  16]
  [ 17  17  17]
  [ 17  17  17]
  ...
  [ 17  17  17]
  [ 17  17  17]
  [ 17  17  17]]

 [[ 19  19  19]
  [ 19  19  19]
  [ 19  19  19]
  ...
  [ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]]

 [[ 20  20  20]
  [ 20  20  20]
  [ 21  21  21]
  ...
  [ 15  15  15]
  [ 15  15  15]
  [ 15  15  15]]]"
19,7.jpg,29,334,307,327,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
20,7.jpg,346,235,209,267,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
21,7.jpg,592,390,103,53,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
22,7.jpg,469,512,120,216,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
23,7.jpg,67,726,173,96,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
24,7.jpg,577,217,111,96,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
25,7.jpg,750,199,178,77,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
26,7.jpg,262,707,74,58,"[[[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [144 166 187]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [145 167 188]]

 [[171 214 255]
  [171 214 255]
  [171 214 255]
  ...
  [143 165 186]
  [144 166 187]
  [144 166 187]]

 ...

 [[ 51  67  64]
  [ 46  62  59]
  [ 45  61  58]
  ...
  [171 173 170]
  [169 171 168]
  [167 169 166]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [171 173 170]
  [169 171 168]
  [168 170 167]]

 [[ 52  68  65]
  [ 47  63  60]
  [ 46  62  59]
  ...
  [172 174 171]
  [169 171 168]
  [168 170 167]]]"
27,8.jpg,394,135,293,264,"[[[151 150 145]
  [151 150 145]
  [150 149 144]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[149 148 143]
  [149 148 143]
  [149 148 143]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[148 147 142]
  [148 147 142]
  [148 147 142]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[201 191 166]
  [203 192 170]
  [189 178 158]
  ...
  [ 78  75  68]
  [106 101  95]
  [133 128 122]]

 [[219 208 186]
  [216 205 183]
  [197 186 166]
  ...
  [ 83  80  73]
  [110 105  99]
  [136 131 125]]

 [[224 213 191]
  [218 207 185]
  [197 186 168]
  ...
  [ 86  83  76]
  [113 108 102]
  [138 133 127]]]"
28,8.jpg,654,515,361,313,"[[[151 150 145]
  [151 150 145]
  [150 149 144]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[149 148 143]
  [149 148 143]
  [149 148 143]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[148 147 142]
  [148 147 142]
  [148 147 142]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[201 191 166]
  [203 192 170]
  [189 178 158]
  ...
  [ 78  75  68]
  [106 101  95]
  [133 128 122]]

 [[219 208 186]
  [216 205 183]
  [197 186 166]
  ...
  [ 83  80  73]
  [110 105  99]
  [136 131 125]]

 [[224 213 191]
  [218 207 185]
  [197 186 168]
  ...
  [ 86  83  76]
  [113 108 102]
  [138 133 127]]]"
29,8.jpg,695,144,312,134,"[[[151 150 145]
  [151 150 145]
  [150 149 144]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[149 148 143]
  [149 148 143]
  [149 148 143]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[148 147 142]
  [148 147 142]
  [148 147 142]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[201 191 166]
  [203 192 170]
  [189 178 158]
  ...
  [ 78  75  68]
  [106 101  95]
  [133 128 122]]

 [[219 208 186]
  [216 205 183]
  [197 186 166]
  ...
  [ 83  80  73]
  [110 105  99]
  [136 131 125]]

 [[224 213 191]
  [218 207 185]
  [197 186 168]
  ...
  [ 86  83  76]
  [113 108 102]
  [138 133 127]]]"
30,8.jpg,510,341,253,164,"[[[151 150 145]
  [151 150 145]
  [150 149 144]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[149 148 143]
  [149 148 143]
  [149 148 143]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 [[148 147 142]
  [148 147 142]
  [148 147 142]
  ...
  [255 255 255]
  [255 255 255]
  [255 255 255]]

 ...

 [[201 191 166]
  [203 192 170]
  [189 178 158]
  ...
  [ 78  75  68]
  [106 101  95]
  [133 128 122]]

 [[219 208 186]
  [216 205 183]
  [197 186 166]
  ...
  [ 83  80  73]
  [110 105  99]
  [136 131 125]]

 [[224 213 191]
  [218 207 185]
  [197 186 168]
  ...
  [ 86  83  76]
  [113 108 102]
  [138 133 127]]]"
31,9.jpg,615,396,103,269,"[[[117 130 138]
  [117 130 138]
  [117 130 138]
  ...
  [122 118 117]
  [122 118 117]
  [123 119 118]]

 [[117 130 138]
  [117 130 138]
  [118 131 139]
  ...
  [122 118 117]
  [123 119 118]
  [123 119 118]]

 [[117 130 138]
  [118 131 139]
  [118 131 139]
  ...
  [121 117 116]
  [122 118 117]
  [123 119 118]]

 ...

 [[ 29  35  59]
  [ 25  31  55]
  [ 20  26  50]
  ...
  [185 181 178]
  [183 179 176]
  [180 176 173]]

 [[ 30  35  57]
  [ 25  30  52]
  [ 19  24  46]
  ...
  [185 181 178]
  [183 179 176]
  [179 175 172]]

 [[ 30  35  57]
  [ 24  29  51]
  [ 18  23  45]
  ...
  [186 182 179]
  [182 178 175]
  [178 174 171]]]"
32,9.jpg,291,348,82,211,"[[[117 130 138]
  [117 130 138]
  [117 130 138]
  ...
  [122 118 117]
  [122 118 117]
  [123 119 118]]

 [[117 130 138]
  [117 130 138]
  [118 131 139]
  ...
  [122 118 117]
  [123 119 118]
  [123 119 118]]

 [[117 130 138]
  [118 131 139]
  [118 131 139]
  ...
  [121 117 116]
  [122 118 117]
  [123 119 118]]

 ...

 [[ 29  35  59]
  [ 25  31  55]
  [ 20  26  50]
  ...
  [185 181 178]
  [183 179 176]
  [180 176 173]]

 [[ 30  35  57]
  [ 25  30  52]
  [ 19  24  46]
  ...
  [185 181 178]
  [183 179 176]
  [179 175 172]]

 [[ 30  35  57]
  [ 24  29  51]
  [ 18  23  45]
  ...
  [186 182 179]
  [182 178 175]
  [178 174 171]]]"
33,9.jpg,60,572,485,392,"[[[117 130 138]
  [117 130 138]
  [117 130 138]
  ...
  [122 118 117]
  [122 118 117]
  [123 119 118]]

 [[117 130 138]
  [117 130 138]
  [118 131 139]
  ...
  [122 118 117]
  [123 119 118]
  [123 119 118]]

 [[117 130 138]
  [118 131 139]
  [118 131 139]
  ...
  [121 117 116]
  [122 118 117]
  [123 119 118]]

 ...

 [[ 29  35  59]
  [ 25  31  55]
  [ 20  26  50]
  ...
  [185 181 178]
  [183 179 176]
  [180 176 173]]

 [[ 30  35  57]
  [ 25  30  52]
  [ 19  24  46]
  ...
  [185 181 178]
  [183 179 176]
  [179 175 172]]

 [[ 30  35  57]
  [ 24  29  51]
  [ 18  23  45]
  ...
  [186 182 179]
  [182 178 175]
  [178 174 171]]]"
